"id","room_type","status","date_reservation","time_reservation","days_of_week","check_in_date","check_out_date","sales_price","d2_hotel_occupancy","average_competitor_price","average_competitor_room_availability","no_of_reservations","created_at","updated_at"
"1","Super Deluxe Twin","Confirmed","2022-12-10","09:55:00","Sunday","2023-01-01","2023-01-03","19800.00","0.44","10521.36","20","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"2","Super Deluxe King","Confirmed","2022-12-18","20:27:00","Sunday","2023-01-01","2023-01-04","34650.00","0.88","10921.89","37","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"3","Super Deluxe Twin","Confirmed","2022-12-06","16:19:00","Sunday","2023-01-01","2023-01-05","39600.00","1.32","10521.36","12","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"4","Infinity Sea View","Confirmed","2022-12-13","10:34:00","Sunday","2023-01-01","2023-01-04","49500.00","1.75","14885.07","35","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"5","Super Deluxe Twin","Confirmed","2022-12-19","13:28:00","Sunday","2023-01-01","2023-01-02","9900.00","2.19","10521.36","21","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"6","Infinity Sea View","Confirmed","2022-12-05","16:56:00","Sunday","2023-01-01","2023-01-04","49500.00","2.63","14885.07","50","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"7","Junior Suite","Confirmed","2022-12-27","11:31:00","Sunday","2023-01-01","2023-01-06","115500.00","3.07","21408.39","23","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"8","Infinity Sea View","Confirmed","2022-12-19","20:44:00","Sunday","2023-01-01","2023-01-05","66000.00","3.51","14885.07","37","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"9","Super Deluxe King","Confirmed","2022-12-06","12:35:00","Sunday","2023-01-01","2023-01-06","57750.00","3.95","10921.89","12","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"10","Super Deluxe Twin","Confirmed","2022-12-10","17:50:00","Sunday","2023-01-01","2023-01-05","39600.00","4.39","10521.36","22","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"11","Infinity Sea View","Confirmed","2022-12-23","08:35:00","Sunday","2023-01-01","2023-01-02","16500.00","4.82","14885.07","40","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"12","Junior Suite","Confirmed","2022-12-24","12:53:00","Sunday","2023-01-01","2023-01-03","46200.00","5.26","21408.39","28","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"13","Super Deluxe King","Confirmed","2022-12-25","15:10:00","Sunday","2023-01-01","2023-01-05","46200.00","5.70","10921.89","47","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"14","Super Deluxe King","Confirmed","2022-12-19","08:43:00","Sunday","2023-01-01","2023-01-02","11550.00","6.14","10921.89","45","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"15","Panorama Ocean Suite","Confirmed","2022-12-15","11:53:00","Sunday","2023-01-01","2023-01-02","39600.00","6.58","36817.14","14","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"16","Super Deluxe King","Confirmed","2022-12-11","09:39:00","Sunday","2023-01-01","2023-01-02","11550.00","7.02","10921.89","16","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
