"id","competitor_hotel_name","room_type","price","check_date","competitor_url","created_at","updated_at"
"1","Berjaya Times Square Hotel","Deluxe Twin Room","370.11","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"2","Berjaya Times Square Hotel","Deluxe King Room","412.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"3","Berjaya Times Square Hotel","Premier Sea View Room","418.50","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"4","Berjaya Times Square Hotel","Junior Suite","606.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"5","Berjaya Times Square Hotel","Presidential Suite","728.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"6","JW Marriott Hotel Kuala Lumpur","Deluxe Twin Room","720.21","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"7","JW Marriott Hotel Kuala Lumpur","Deluxe King Room","734.40","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"8","JW Marriott Hotel Kuala Lumpur","Oceanfront Deluxe Room","926.50","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"9","JW Marriott Hotel Kuala Lumpur","Executive Suite","1010.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"10","JW Marriott Hotel Kuala Lumpur","Grand Suite","1200.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"11","Pullman Kuala Lumpur City Centre","Superior Twin Room","489.34","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"12","Pullman Kuala Lumpur City Centre","Superior King Room","475.20","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"13","Pullman Kuala Lumpur City Centre","Ocean View Deluxe","572.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"14","Pullman Kuala Lumpur City Centre","Junior Ocean Suite","644.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"15","Pullman Kuala Lumpur City Centre","Oceanfront Suite","981.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"16","Wyndham Grand Bangsar Kuala Lumpur","Premier Twin Room","280.31","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"17","Wyndham Grand Bangsar Kuala Lumpur","Premier King Room","276.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"18","Wyndham Grand Bangsar Kuala Lumpur","Sea View Deluxe Room","318.50","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"19","Wyndham Grand Bangsar Kuala Lumpur","Junior Suite Sea View","485.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"20","Wyndham Grand Bangsar Kuala Lumpur","Royal Suite","598.00","2023-02-20",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"21","Berjaya Times Square Hotel","Deluxe Twin Room","385.53","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"22","Berjaya Times Square Hotel","Deluxe King Room","376.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"23","Berjaya Times Square Hotel","Premier Sea View Room","481.50","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"24","Berjaya Times Square Hotel","Junior Suite","564.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"25","Berjaya Times Square Hotel","Presidential Suite","728.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"26","JW Marriott Hotel Kuala Lumpur","Deluxe Twin Room","644.03","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"27","JW Marriott Hotel Kuala Lumpur","Deluxe King Room","734.40","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"28","JW Marriott Hotel Kuala Lumpur","Oceanfront Deluxe Room","918.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"29","JW Marriott Hotel Kuala Lumpur","Executive Suite","1090.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"30","JW Marriott Hotel Kuala Lumpur","Grand Suite","1212.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"31","Pullman Kuala Lumpur City Centre","Superior Twin Room","424.10","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"32","Pullman Kuala Lumpur City Centre","Superior King Room","470.40","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"33","Pullman Kuala Lumpur City Centre","Ocean View Deluxe","572.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"34","Pullman Kuala Lumpur City Centre","Junior Ocean Suite","672.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"35","Pullman Kuala Lumpur City Centre","Oceanfront Suite","819.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"36","Wyndham Grand Bangsar Kuala Lumpur","Premier Twin Room","266.15","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"37","Wyndham Grand Bangsar Kuala Lumpur","Premier King Room","300.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"38","Wyndham Grand Bangsar Kuala Lumpur","Sea View Deluxe Room","322.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"39","Wyndham Grand Bangsar Kuala Lumpur","Junior Suite Sea View","545.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"40","Wyndham Grand Bangsar Kuala Lumpur","Royal Suite","689.00","2023-02-21",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"41","Berjaya Times Square Hotel","Deluxe Twin Room","448.76","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"42","Berjaya Times Square Hotel","Deluxe King Room","475.20","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"43","Berjaya Times Square Hotel","Premier Sea View Room","513.00","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"44","Berjaya Times Square Hotel","Junior Suite","792.00","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"45","Berjaya Times Square Hotel","Presidential Suite","912.00","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"46","JW Marriott Hotel Kuala Lumpur","Deluxe Twin Room","880.87","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"47","JW Marriott Hotel Kuala Lumpur","Deluxe King Room","881.28","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"48","JW Marriott Hotel Kuala Lumpur","Oceanfront Deluxe Room","1122.00","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"49","JW Marriott Hotel Kuala Lumpur","Executive Suite","1296.00","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"50","JW Marriott Hotel Kuala Lumpur","Grand Suite","1468.80","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"51","Pullman Kuala Lumpur City Centre","Superior Twin Room","508.92","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"52","Pullman Kuala Lumpur City Centre","Superior King Room","518.40","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"53","Pullman Kuala Lumpur City Centre","Ocean View Deluxe","627.00","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"54","Pullman Kuala Lumpur City Centre","Junior Ocean Suite","814.80","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"55","Pullman Kuala Lumpur City Centre","Oceanfront Suite","1123.20","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"56","Wyndham Grand Bangsar Kuala Lumpur","Premier Twin Room","366.95","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"57","Wyndham Grand Bangsar Kuala Lumpur","Premier King Room","388.80","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
"58","Wyndham Grand Bangsar Kuala Lumpur","Sea View Deluxe Room","424.20","2023-02-22",NULL,"2025-03-02 18:59:35","2025-03-02 18:59:35"
